,TAX CLASS AT PRESENT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT PRESENT,ZIP CODE,TOTAL UNITS,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,NEIGHBORHOOD
10256,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10276,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10277,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10278,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10279,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10280,4,4,H3,10019,2,0,2,7532,112850,89000,MIDTOWN WEST             
10281,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10282,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10283,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10284,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10285,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10286,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10287,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10288,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10289,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10290,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10291,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10292,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10293,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10294,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10295,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10296,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10297,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10298,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10299,4,4,H3,10019,2,0,2,7532,112850,53108,MIDTOWN WEST             
10300,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10301,4,4,H3,10019,2,0,2,7532,112850,58575,MIDTOWN WEST             
10302,4,4,H3,10019,2,0,2,7532,112850,54509,MIDTOWN WEST             
10303,4,4,H3,10019,2,0,2,7532,112850,243489,MIDTOWN WEST             
10304,4,4,H3,10019,2,0,2,7532,112850,58500,MIDTOWN WEST             
10305,4,4,H3,10019,2,0,2,7532,112850,84064,MIDTOWN WEST             
10306,4,4,H3,10019,2,0,2,7532,112850,41205,MIDTOWN WEST             
10307,4,4,H3,10019,2,0,2,7532,112850,95800,MIDTOWN WEST             
10308,4,4,H3,10019,2,0,2,7532,112850,81345,MIDTOWN WEST             
10309,4,4,H3,10019,2,0,2,7532,112850,112126,MIDTOWN WEST             
10320,4,4,H3,10019,2,0,2,7532,112850,41678,MIDTOWN WEST             
10321,4,4,H3,10019,2,0,2,7532,112850,59488,MIDTOWN WEST             
10333,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10334,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10335,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10336,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10337,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10338,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10339,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10340,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10341,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10342,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10343,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10344,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10345,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10346,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10347,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10348,4,4,H3,10019,2,0,2,7532,112850,57991,MIDTOWN WEST             
10349,4,4,H3,10019,2,0,2,7532,112850,57252,MIDTOWN WEST             
10350,4,4,H3,10019,2,0,2,7532,112850,83800,MIDTOWN WEST             
10351,4,4,H3,10019,2,0,2,7532,112850,81068,MIDTOWN WEST             
10352,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10353,4,4,H3,10019,2,0,2,7532,112850,69800,MIDTOWN WEST             
10354,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10355,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10356,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10357,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10358,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10359,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10360,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10361,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10362,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10363,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10364,4,4,H3,10019,2,0,2,7532,112850,69800,MIDTOWN WEST             
10365,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10366,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10367,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10368,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10369,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10370,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10371,4,4,H3,10019,2,0,2,7532,112850,69800,MIDTOWN WEST             
10372,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10373,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10374,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10375,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10376,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10377,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10378,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10379,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10380,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10381,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10382,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10383,4,4,H3,10019,2,0,2,7532,112850,40705,MIDTOWN WEST             
10384,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10385,4,4,H3,10019,2,0,2,7532,112850,59425,MIDTOWN WEST             
10386,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10387,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10388,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10389,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10390,4,4,H3,10019,2,0,2,7532,112850,119802,MIDTOWN WEST             
10391,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10392,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10393,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10394,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10395,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10396,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10422,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10423,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10424,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10425,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10426,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10427,4,4,H3,10019,2,0,2,7532,112850,41639,MIDTOWN WEST             
10428,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10429,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10430,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10431,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10432,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10433,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10434,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10435,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10436,4,4,H3,10019,2,0,2,7532,112850,85000,MIDTOWN WEST             
10437,4,4,H3,10019,2,0,2,7532,112850,79710,MIDTOWN WEST             
10438,4,4,H3,10019,2,0,2,7532,112850,41080,MIDTOWN WEST             
10439,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10440,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10441,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10442,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10443,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10444,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10445,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10446,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10447,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10448,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10456,4,4,H3,10019,2,0,2,7532,112850,34000,MIDTOWN WEST             
10468,4,4,H3,10019,2,0,2,7532,112850,10241,MIDTOWN WEST             
10478,4,4,H3,10019,2,0,2,7532,112850,44995,MIDTOWN WEST             
10480,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10481,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10482,4,4,H3,10019,2,0,2,7532,112850,57105,MIDTOWN WEST             
10483,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10484,4,4,H3,10019,2,0,2,7532,112850,56822,MIDTOWN WEST             
10485,4,4,H3,10019,2,0,2,7532,112850,42400,MIDTOWN WEST             
10486,4,4,H3,10019,2,0,2,7532,112850,81909,MIDTOWN WEST             
10487,4,4,H3,10019,2,0,2,7532,112850,106535,MIDTOWN WEST             
10488,4,4,H3,10019,2,0,2,7532,112850,81795,MIDTOWN WEST             
10489,4,4,H3,10019,2,0,2,7532,112850,81795,MIDTOWN WEST             
10490,4,4,H3,10019,2,0,2,7532,112850,41080,MIDTOWN WEST             
10491,4,4,H3,10019,2,0,2,7532,112850,120373,MIDTOWN WEST             
10492,4,4,H3,10019,2,0,2,7532,112850,57863,MIDTOWN WEST             
10493,4,4,H3,10019,2,0,2,7532,112850,94509,MIDTOWN WEST             
10494,4,4,H3,10019,2,0,2,7532,112850,87045,MIDTOWN WEST             
10495,4,4,H3,10019,2,0,2,7532,112850,57863,MIDTOWN WEST             
10496,4,4,H3,10019,2,0,2,7532,112850,81420,MIDTOWN WEST             
10497,4,4,H3,10019,2,0,2,7532,112850,96755,MIDTOWN WEST             
10498,4,4,H3,10019,2,0,2,7532,112850,99800,MIDTOWN WEST             
10499,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10500,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10501,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10502,4,4,H3,10019,2,0,2,7532,112850,34900,MIDTOWN WEST             
10503,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10504,4,4,H3,10019,2,0,2,7532,112850,49900,MIDTOWN WEST             
10505,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10506,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10507,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10508,4,4,H3,10019,2,0,2,7532,112850,42400,MIDTOWN WEST             
10509,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10510,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10511,4,4,H3,10019,2,0,2,7532,112850,85000,MIDTOWN WEST             
10512,4,4,H3,10019,2,0,2,7532,112850,40905,MIDTOWN WEST             
10513,4,4,H3,10019,2,0,2,7532,112850,122060,MIDTOWN WEST             
10514,4,4,H3,10019,2,0,2,7532,112850,40815,MIDTOWN WEST             
10515,4,4,H3,10019,2,0,2,7532,112850,120159,MIDTOWN WEST             
10516,4,4,H3,10019,2,0,2,7532,112850,79892,MIDTOWN WEST             
10517,4,4,H3,10019,2,0,2,7532,112850,55846,MIDTOWN WEST             
10524,4,4,H3,10019,2,0,2,7532,112850,25130,MIDTOWN WEST             
10530,4,4,H3,10019,2,0,2,7532,112850,100,MIDTOWN WEST             
10549,4,4,H3,10019,2,0,2,7532,112850,47950,MIDTOWN WEST             
10563,4,4,H3,10019,2,0,2,7532,112850,116805,MIDTOWN WEST             
10564,4,4,H3,10019,2,0,2,7532,112850,40902,MIDTOWN WEST             
10565,4,4,H3,10019,2,0,2,7532,112850,41358,MIDTOWN WEST             
10566,4,4,H3,10019,2,0,2,7532,112850,55428,MIDTOWN WEST             
10567,4,4,H3,10019,2,0,2,7532,112850,57355,MIDTOWN WEST             
10568,4,4,H3,10019,2,0,2,7532,112850,53183,MIDTOWN WEST             
10569,4,4,H3,10019,2,0,2,7532,112850,118756,MIDTOWN WEST             
10570,4,4,H3,10019,2,0,2,7532,112850,61000,MIDTOWN WEST             
10571,4,4,H3,10019,2,0,2,7532,112850,41180,MIDTOWN WEST             
10572,4,4,H3,10019,2,0,2,7532,112850,57927,MIDTOWN WEST             
10573,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10574,4,4,H3,10019,2,0,2,7532,112850,192884,MIDTOWN WEST             
10575,4,4,H3,10019,2,0,2,7532,112850,75530,MIDTOWN WEST             
10576,4,4,H3,10019,2,0,2,7532,112850,57105,MIDTOWN WEST             
10577,4,4,H3,10019,2,0,2,7532,112850,116805,MIDTOWN WEST             
10578,4,4,H3,10019,2,0,2,7532,112850,116805,MIDTOWN WEST             
10579,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10580,4,4,H3,10019,2,0,2,7532,112850,56947,MIDTOWN WEST             
10581,4,4,H3,10019,2,0,2,7532,112850,41325,MIDTOWN WEST             
10582,4,4,H3,10019,2,0,2,7532,112850,90078,MIDTOWN WEST             
10598,4,4,H3,10019,2,0,2,7532,112850,51246,MIDTOWN WEST             
10609,4,4,H3,10019,2,0,2,7532,112850,25104,MIDTOWN WEST             
10611,4,4,H3,10019,2,0,2,7532,112850,25310,MIDTOWN WEST             
10612,4,4,H3,10019,2,0,2,7532,112850,126490,MIDTOWN WEST             
10613,4,4,H3,10019,2,0,2,7532,112850,116805,MIDTOWN WEST             
10614,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10615,4,4,H3,10019,2,0,2,7532,112850,60089,MIDTOWN WEST             
10616,4,4,H3,10019,2,0,2,7532,112850,55904,MIDTOWN WEST             
10617,4,4,H3,10019,2,0,2,7532,112850,59629,MIDTOWN WEST             
10618,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10619,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10620,4,4,H3,10019,2,0,2,7532,112850,54509,MIDTOWN WEST             
10621,4,4,H3,10019,2,0,2,7532,112850,60500,MIDTOWN WEST             
10622,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10623,4,4,H3,10019,2,0,2,7532,112850,96910,MIDTOWN WEST             
10624,4,4,H3,10019,2,0,2,7532,112850,83000,MIDTOWN WEST             
10625,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10626,4,4,H3,10019,2,0,2,7532,112850,55548,MIDTOWN WEST             
10627,4,4,H3,10019,2,0,2,7532,112850,51970,MIDTOWN WEST             
10628,4,4,H3,10019,2,0,2,7532,112850,83000,MIDTOWN WEST             
10629,4,4,H3,10019,2,0,2,7532,112850,40920,MIDTOWN WEST             
10630,4,4,H3,10019,2,0,2,7532,112850,52766,MIDTOWN WEST             
10631,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10632,4,4,H3,10019,2,0,2,7532,112850,40280,MIDTOWN WEST             
10633,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10634,4,4,H3,10019,2,0,2,7532,112850,56205,MIDTOWN WEST             
10641,4,4,H3,10019,2,0,2,7532,112850,21578,MIDTOWN WEST             
10644,4,4,H3,10019,2,0,2,7532,112850,100,MIDTOWN WEST             
10645,4,4,H3,10019,2,0,2,7532,112850,37000,MIDTOWN WEST             
10646,4,4,H3,10019,2,0,2,7532,112850,30650,MIDTOWN WEST             
10647,4,4,H3,10019,2,0,2,7532,112850,31000,MIDTOWN WEST             
10648,4,4,H3,10019,2,0,2,7532,112850,15000,MIDTOWN WEST             
10657,4,4,H3,10019,2,0,2,7532,112850,83000,MIDTOWN WEST             
10658,4,4,H3,10019,2,0,2,7532,112850,42400,MIDTOWN WEST             
10659,4,4,H3,10019,2,0,2,7532,112850,40705,MIDTOWN WEST             
10660,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10661,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10662,4,4,H3,10019,2,0,2,7532,112850,114863,MIDTOWN WEST             
10663,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10664,4,4,H3,10019,2,0,2,7532,112850,56096,MIDTOWN WEST             
10665,4,4,H3,10019,2,0,2,7532,112850,56020,MIDTOWN WEST             
10666,4,4,H3,10019,2,0,2,7532,112850,58805,MIDTOWN WEST             
10667,4,4,H3,10019,2,0,2,7532,112850,139230,MIDTOWN WEST             
10668,4,4,H3,10019,2,0,2,7532,112850,57203,MIDTOWN WEST             
10669,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10670,4,4,H3,10019,2,0,2,7532,112850,56205,MIDTOWN WEST             
10671,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10672,4,4,H3,10019,2,0,2,7532,112850,54777,MIDTOWN WEST             
10673,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10674,4,4,H3,10019,2,0,2,7532,112850,116805,MIDTOWN WEST             
10675,4,4,H3,10019,2,0,2,7532,112850,59900,MIDTOWN WEST             
10676,4,4,H3,10019,2,0,2,7532,112850,42400,MIDTOWN WEST             
10677,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10678,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10679,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10680,4,4,H3,10019,2,0,2,7532,112850,58900,MIDTOWN WEST             
10681,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10682,4,4,H3,10019,2,0,2,7532,112850,40801,MIDTOWN WEST             
10683,4,4,H3,10019,2,0,2,7532,112850,114855,MIDTOWN WEST             
10684,4,4,H3,10019,2,0,2,7532,112850,57355,MIDTOWN WEST             
10694,4,4,H3,10019,2,0,2,7532,112850,30689,MIDTOWN WEST             
10699,4,4,H3,10019,2,0,2,7532,112850,100,MIDTOWN WEST             
10702,4,4,H3,10036,1,0,1,14500,238818,191850000,MIDTOWN WEST             
10703,4,4,H3,10019,14,0,14,33266,461591,513024080,MIDTOWN WEST             
10704,4,4,H3,10019,2,0,2,12150,54568,11437750,MIDTOWN WEST             
10705,4,4,HB,10036,118,0,118,7100,52575,16857750,MIDTOWN WEST             
10706,4,4,H3,10036,1,0,1,3377,44836,30426000,MIDTOWN WEST             
10710,4,4,G1,10036,1,0,1,9700,52216,45780000,MIDTOWN WEST             
10717,4,4,J4,10036,1,0,1,7581,34462,24750000,MIDTOWN WEST             
12263,2,2,C7,10027,24,22,2,4500,18288,12400000,MORNINGSIDE HEIGHTS      
12264,2,2,C7,10027,24,22,2,4167,16428,9750000,MORNINGSIDE HEIGHTS      
12265,2,2,C7,10027,22,21,1,4158,16752,10500000,MORNINGSIDE HEIGHTS      
12266,2,2,C7,10027,24,23,1,4158,17127,10500000,MORNINGSIDE HEIGHTS      
12339,1,1,A4,10016,1,1,0,1580,4800,3375000,MURRAY HILL              
12340,1,1,A4,10016,1,1,0,495,2170,3625000,MURRAY HILL              
12341,1,1,S2,10016,3,2,1,1876,5781,6000000,MURRAY HILL              
12344,1,1,C0,10016,3,3,0,1679,4675,5375000,MURRAY HILL              
12345,2B,2,C7,10016,9,8,1,1805,7588,5000000,MURRAY HILL              
12347,2B,2,C5,10016,7,7,0,1975,4742,1,MURRAY HILL              
12349,2B,2,C5,10016,9,9,0,1975,4417,6100000,MURRAY HILL              
12352,2,2,C7,10016,17,15,2,1679,6171,2350000,MURRAY HILL              
12354,2,2,C7,10016,30,28,2,4451,17124,550000,MURRAY HILL              
12355,2,2,C7,10016,30,28,2,4451,17124,730500,MURRAY HILL              
12358,2B,2,C1,10016,7,7,0,1481,4375,4765000,MURRAY HILL              
12359,2,2,C7,10016,31,30,1,4938,20892,18500000,MURRAY HILL              
12362,2B,2,C1,10016,7,7,0,1233,3689,4100000,MURRAY HILL              
12363,2,2,C4,10016,60,60,0,7406,28935,25816322,MURRAY HILL              
12364,2A,2,C3,10016,4,4,0,1646,3350,3000000,MURRAY HILL              
12366,2B,2,C7,10016,9,8,1,2000,6480,14050000,MURRAY HILL              
12367,2,2,D9,10016,28,27,1,2469,12726,5000000,MURRAY HILL              
12369,2,2,D6,10016,241,237,4,17485,236315,179000000,MURRAY HILL              
12370,2,2,D7,10016,25,24,1,3738,20101,13440000,MURRAY HILL              
12371,2,2,D1,10016,24,24,0,2710,13000,4750000,MURRAY HILL              
12372,2,2,D5,10016,71,71,0,8625,62188,43625000,MURRAY HILL              
12373,2A,2,D9,10016,6,6,0,2074,8000,7070000,MURRAY HILL              
12374,2,2,D9,10016,17,16,1,2469,11300,9550000,MURRAY HILL              
12377,2,2,D6,10016,105,102,3,8150,66403,68250000,MURRAY HILL              
13070,2B,2,S9,10016,8,6,2,2057,5997,5000000,MURRAY HILL              
13071,2B,2,S9,10016,8,6,2,2300,9280,15500000,MURRAY HILL              
13072,2A,2,S4,10016,5,4,1,1820,9807,8900000,MURRAY HILL              
13073,2B,2,S9,10016,9,6,3,1786,8250,9133000,MURRAY HILL              
13075,2A,2,S3,10016,4,3,1,1975,4820,9100000,MURRAY HILL              
13076,2A,2,S3,10016,4,3,1,2469,5932,8003688,MURRAY HILL              
13077,2A,2,S3,10016,4,3,1,1840,5244,4550000,MURRAY HILL              
13078,2B,2,S5,10016,7,6,1,1469,3604,6500000,MURRAY HILL              
13079,2A,2,S3,10016,4,3,1,1469,3604,26500000,MURRAY HILL              
13083,2A,2,S4,10016,5,4,1,2000,7878,10000000,MURRAY HILL              
13095,4,4,O9,10016,6,0,6,4938,21885,25750000,MURRAY HILL              
13103,4,4,O9,10016,13,0,13,2469,26967,36000000,MURRAY HILL              
13105,4,4,O3,10016,30,0,30,12610,233484,185000000,MURRAY HILL              
13107,4,4,O9,10016,1,0,1,1901,5899,5500000,MURRAY HILL              
13109,4,4,K4,10016,10,1,9,3521,11362,3482812,MURRAY HILL              
13110,4,4,K4,10016,10,1,9,3521,11362,6965625,MURRAY HILL              
13111,4,4,K4,10016,10,1,9,3521,11362,8126562,MURRAY HILL              
13114,4,4,K4,10016,8,4,4,3504,8236,3500000,MURRAY HILL              
13116,4,4,K2,10016,1,0,1,1758,1758,1146666,MURRAY HILL              
13117,4,4,L8,10016,4,0,4,2600,8060,19500000,MURRAY HILL              
13118,4,4,L8,10016,6,0,6,2308,13392,36058750,MURRAY HILL              
13119,4,4,L8,10016,6,0,6,2308,13392,35124781,MURRAY HILL              
13120,4,4,L8,10016,29,0,29,10000,42485,102000000,MURRAY HILL              
13128,4,4,W6,10016,1,0,1,3160,21688,1531250,MURRAY HILL              
13129,4,4,W6,10016,1,0,1,3160,21688,4593750,MURRAY HILL              
13130,4,4,W6,10016,1,0,1,3160,21688,6125000,MURRAY HILL              
13131,4,4,W6,10016,1,0,1,3160,21688,12250000,MURRAY HILL              
13156,1,1,S2,10013,3,2,1,2192,5447,9907000,SOHO                     
13157,1,1,B1,10013,2,2,0,982,2052,6887278,SOHO                     
13159,1,1,B3,10012,2,2,0,1755,2239,6500000,SOHO                     
13160,1,1,S2,10012,3,2,1,2500,7000,32250000,SOHO                     
13162,1,1,S2,10012,3,2,1,1580,4440,7400000,SOHO                     
13165,1,1,B1,10014,2,2,0,2025,2880,6470000,SOHO                     
13166,1,1,C0,10014,3,3,0,1230,2808,10,SOHO                     
13167,1,1,C0,10013,3,3,0,1700,3272,4360000,SOHO                     
13168,2B,2,C7,10013,9,8,1,1526,8621,17900000,SOHO                     
13169,2,2,C7,10013,18,16,2,2700,8992,8750000,SOHO                     
13170,2B,2,C7,10013,10,7,3,1645,3520,17450000,SOHO                     
13171,2A,2,C4,10012,4,4,0,1260,5049,7000000,SOHO                     
13174,2,2,C5,10012,30,30,0,4908,20195,2381000,SOHO                     
13175,2,2,C5,10012,30,30,0,4908,20195,730500,SOHO                     
13179,2A,2,D2,10012,6,5,1,2508,11520,15000000,SOHO                     
13180,2B,2,D2,10012,10,10,0,3080,18400,25000000,SOHO                     
13182,2,2,D9,10013,11,4,7,4237,25550,7816462,SOHO                     
13364,2A,2,S3,10013,4,3,1,2010,7950,11000000,SOHO                     
13366,2A,2,S3,10013,4,3,1,1110,4440,6400000,SOHO                     
13419,4,4,O9,10013,7,0,7,3010,13400,13800000,SOHO                     
13420,4,4,O9,10013,11,0,11,11067,47621,6613060,SOHO                     
13421,4,4,O9,10013,11,0,11,11067,47621,9899531,SOHO                     
13424,4,4,O9,10013,2,0,2,1347,5000,18750000,SOHO                     
13425,4,4,O9,10012,4,0,4,1879,4950,8500000,SOHO                     
13429,4,4,L9,10013,5,0,5,2800,12400,14450000,SOHO                     
13433,4,4,L9,10013,8,6,2,756,3024,3700000,SOHO                     
13436,4,4,F5,10013,1,0,1,1698,4410,9600000,SOHO                     
13437,4,4,F5,10013,1,0,1,1698,4410,4950000,SOHO                     
13438,4,4,F5,10014,1,0,1,3683,22519,26000000,SOHO                     
13440,4,4,E9,10013,1,0,1,2726,2755,13069734,SOHO                     
13441,4,4,M3,10013,1,0,1,1700,1600,4100000,SOHO                     
13471,1,1,A9,10038,1,1,0,458,2295,5250000,SOUTHBRIDGE              
13472,1,1,S2,10038,3,2,1,2924,5544,5000000,SOUTHBRIDGE              
